ego_id;rs_pattern_10;rs_pattern_11;rs_pattern_12;rs_pattern_13;rs_pattern_14;rs_pattern_15;rs_pattern_16;rs_pattern_17;rs_pattern_18;rs_pattern_19;rs_pattern_20;rs_pattern_21;rs_pattern_22;rs_pattern_23;rs_pattern_24;rs_pattern_25;rs_pattern_26;rs_pattern_27;rs_pattern_28;rs_pattern_29;rs_pattern_30
0c01f33ad58e215099bf1a2987168d80;22265.0;47300.0;123381.0;29314.0;29996.0;55814.0;42.0;1721.0;11436.0;22643.0;5443.0;477.0;20.0;8663.0;3763.0;3015.0;168.0;183.0;3867.0;1055.0;288.0
ec83b76cb9cb199107e90f995a9dcd4b;693.0;483.0;1075.0;550.0;757.0;933.0;15.0;217.0;419.0;894.0;163.0;115.0;17.0;312.0;399.0;108.0;61.0;58.0;287.0;115.0;15.0
377b27603fb295c90f26dd7d1c5cbab1;1529.0;1043.0;3447.0;2186.0;3062.0;4413.0;1.0;597.0;4248.0;8396.0;575.0;317.0;43.0;11430.0;4745.0;2396.0;478.0;1348.0;14497.0;14718.0;12770.0
1db19e01c9ec63bcb60694265f90fd22;8213.0;1879.0;14033.0;11725.0;8617.0;7450.0;148.0;1519.0;8313.0;9434.0;2472.0;1438.0;37.0;8386.0;6409.0;1139.0;798.0;1214.0;7863.0;4646.0;1715.0
61609a85bfcfab5fc7090e79a4f402ed;5010.0;1113.0;7432.0;7827.0;10214.0;6847.0;158.0;1694.0;13043.0;13726.0;1774.0;1506.0;83.0;19022.0;8294.0;3211.0;910.0;1748.0;18531.0;15891.0;10952.0
ea7f3ee41ce2853bbf3e06d8527da34b;2213.0;1756.0;5665.0;5111.0;2714.0;5383.0;10.0;270.0;3804.0;3792.0;1033.0;161.0;2.0;7256.0;1932.0;422.0;99.0;261.0;5620.0;6023.0;8313.0
b8dfb0c6f09aae27259c22437d6c9415;8588.0;16116.0;25082.0;9263.0;13418.0;29724.0;321.0;3303.0;7120.0;22647.0;4389.0;1542.0;157.0;8208.0;6915.0;3560.0;447.0;567.0;6656.0;2346.0;582.0
574afe47215b6847ba305f33fba5d12a;555.0;1156.0;2125.0;1233.0;883.0;2552.0;4.0;20.0;570.0;1634.0;409.0;14.0;0.0;861.0;499.0;203.0;2.0;13.0;616.0;224.0;76.0
d378ceb4020c5ca0ed6bcce0478dcea9;463.0;324.0;1190.0;680.0;934.0;1017.0;0.0;207.0;980.0;1116.0;151.0;101.0;8.0;726.0;570.0;145.0;61.0;95.0;512.0;304.0;77.0
0b94a139e58fc795a05594de4d78f8b7;188.0;81.0;488.0;388.0;140.0;357.0;1.0;18.0;195.0;144.0;93.0;14.0;0.0;107.0;62.0;4.0;2.0;4.0;36.0;11.0;7.0
18d2f9c906df851c8714fa4cc848eb2a;54724.0;19948.0;89296.0;73546.0;39957.0;36777.0;533.0;10983.0;44711.0;44717.0;10319.0;7377.0;732.0;50754.0;28634.0;6865.0;5614.0;8920.0;46468.0;40305.0;21292.0
62d4c4e0451d804141875debef8ed06e;106686.0;466594.0;388343.0;168694.0;212338.0;648972.0;2020.0;31024.0;121786.0;294102.0;91207.0;16798.0;1151.0;157226.0;79137.0;28546.0;7642.0;7974.0;80710.0;33071.0;10911.0
6dc1d61a3b32406d510a7ef7ec840852;2.0;2.0;14.0;1.0;6.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0
